areaacres,areasqkm,states,huc8,name,globalid,shape_Length,shape_Area,EXTERNAL_PERMIT_NMBR,FACILITY_NAME,LOCATION_ADDRESS,CITY,STATE_CODE,ZIP,FAC_COUNTY_NAME,PERMIT_NAME,FACILITY_TYPE_CODE,FACILITY_TYPE_DESC,PERMIT_TYPE_CODE,PERMIT_STATUS_CODE,PERMIT_TYPE_DESC,PERMIT_STATUS_DESC,SIC_CODES,SIC_DESCRIPTIONS,TOTAL_DESIGN_FLOW_NMBR,NAICS_CODES,FAC_FEDERAL_AGENCY_NAME,CWP_CURRENT_SNC_STATUS,CWP_CURRENT_VIOL,CWA_CURRENT_STATUS,CWP_DATE_LAST_INSPECTION,DATE_LAST_FORMAL_EA,DMR_POUNDS,LIM_POLLUTANT,FAC_INDIAN_SPATIAL_FLG,FAC_DERIVED_TRIBES,PERMIT_EFFECTIVE_DATE,PERMIT_EXPIRATION_DATE,PERMIT_TERMINATION_DATE,PERMIT_COMPONENTS,PERM_FEATURE_NMBR,MAJOR_MINOR_FLAG,STATE_WATER_BODY_NAME,LATITUDE83,LONGITUDE83,SUB_TYPE_DESC,LATLONG_TYPE
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100218,FARMINGTON WPCF,1 WESTERBERG DRIVE,FARMINGTON,CT,06032,HARTFORD,FARMINGTON WPCF,MWD,Municipal or Water District,NPD,EFF,NPDES Individual Permit,Effective,4952,Sewerage Systems,,,,,Yes,Violation Identified,02/05/2020,02/10/1989,134459,"Aluminum, total [as Al];Antimony, total [as Sb];Arsenic, sludge tot. dry wt [as As];Arsenic, total [as As];BOD, 5-day, 20 deg. C;BOD, 5-day, percent removal;Beryllium, sludge, tot. dry wt [as Be];Beryllium, total [as Be];Cadmium, sludge, total, dry weight [as Cd];Cadmium, total [as Cd];Chlorine, total residual;Chromium, hexavalent [as Cr];Chromium, sludge, total, dry weight [as Cr];Chromium, total [as Cr];Copper, sludge, total, dry weight [as Cu];Copper, total [as Cu];Cyanide, free [amen. to chlorination];Cyanide, total [as CN];E. coli;Flow rate;Iron, total [as Fe];Lead, sludge, total, dry weight [as Pb];Lead, total [as Pb];Mercury, sludge, total, dry weight [as Hg];Mercury, total [as Hg];Nickel, sludge, total, dry weight [as Ni];Nickel, total [as Ni];Nitrogen, ammonia total [as N];Nitrogen, nitrate total [as N];Nitrogen, nitrite total [as N];Noael Static 48Hr Acute D. Pulex;Noael Static 48Hr Acute Pimephales;Phenols;Phosphorus, Total [Avg Seasonal Load Cap];Phosphorus, total [as P];Polychlorinated biphenyls [PCBs];Selenium, total [as Se];Silver, total [as Ag];Solids, fixed, % of total solids;Solids, suspended percent removal;Solids, total suspended;Solids, total, percent;Solids, volatile % of total solids;Thallium, total [as Tl];Ultraviolet light dosage;Zinc, sludge, total, dry weight [as Zn];Zinc, total [as Zn];pH",N,,01/01/2018,12/31/2022,,"Biosolids, POTW, Pretreatment",,Major,FARMINGTON RIVER,41.728989,-72.828711,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100218,FARMINGTON WPCF,1 WESTERBERG DRIVE,FARMINGTON,CT,06032,HARTFORD,FARMINGTON WPCF,MWD,Municipal or Water District,NPD,EFF,NPDES Individual Permit,Effective,4952,Sewerage Systems,,,,,Yes,Violation Identified,02/05/2020,02/10/1989,,,N,,01/01/2018,12/31/2022,,"Biosolids, POTW, Pretreatment",001,Major,FARMINGTON RIVER,41.728875,-72.828691,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100331,NEW HARTFORD WPCF,RT#44,NEW HARTFORD,CT,06057,LITCHFIELD,NEW HARTFORD WPCF,MWD,Municipal or Water District,NPD,EFF,NPDES Individual Permit,Effective,4952,Sewerage Systems,0.09,,,,Yes,Violation Identified,04/18/2019,06/05/2003,1463,"Aluminum, total [as Al];Antimony, total [as Sb];Arsenic, sludge tot. dry wt [as As];Arsenic, total [as As];BOD, 5-day, 20 deg. C;BOD, 5-day, percent removal;Beryllium, sludge, tot. dry wt [as Be];Beryllium, total [as Be];Cadmium, sludge, total, dry weight [as Cd];Cadmium, total [as Cd];Chlorine, total residual;Chromium, hexavalent [as Cr];Chromium, sludge, total, dry weight [as Cr];Chromium, total [as Cr];Copper, sludge, total, dry weight [as Cu];Copper, total [as Cu];Cyanide, free [amen. to chlorination];Cyanide, total [as CN];E. coli;Flow rate;Iron, total [as Fe];Lead, sludge, total, dry weight [as Pb];Lead, total [as Pb];Mercury, sludge, total, dry weight [as Hg];Mercury, total [as Hg];Nickel, sludge, total, dry weight [as Ni];Nickel, total [as Ni];Nitrogen, ammonia total [as N];Nitrogen, nitrate total [as N];Nitrogen, nitrite total [as N];Nitrogen, total [as N];Noael Static 48Hr Acute D. Pulex;Noael Static 48Hr Acute Pimephales;Phenols;Phosphorus, Total [Avg Seasonal Load Cap];Phosphorus, total [as P];Polychlorinated biphenyls [PCBs];Selenium, total [as Se];Silver, total [as Ag];Solids, fixed, % of total solids;Solids, suspended percent removal;Solids, total suspended;Solids, total, percent;Solids, volatile % of total solids;Thallium, total [as Tl];Ultraviolet light dosage;Zinc, sludge, total, dry weight [as Zn];Zinc, total [as Zn];pH",N,,11/01/2018,10/31/2023,,"Biosolids, POTW, Pretreatment",,Minor,FARMINGTON RIVER,41.868318,-72.95786,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100331,NEW HARTFORD WPCF,RT#44,NEW HARTFORD,CT,06057,LITCHFIELD,NEW HARTFORD WPCF,MWD,Municipal or Water District,NPD,EFF,NPDES Individual Permit,Effective,4952,Sewerage Systems,0.09,,,,Yes,Violation Identified,04/18/2019,06/05/2003,,,N,,11/01/2018,10/31/2023,,"Biosolids, POTW, Pretreatment",001,Minor,FARMINGTON RIVER,41.867222,-72.957222,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100374,BRISTOL WATER RECLAMATION FACILITY,75 BATTISTO RD.,BRISTOL,CT,06010,HARTFORD,BRISTOL WPCF,MWD,Municipal or Water District,NPD,EFF,NPDES Individual Permit,Effective,4952,Sewerage Systems,10.75,,,,Yes,Violation Identified,02/06/2019,12/04/2000,,,N,,10/01/2020,09/30/2025,,"Biosolids, POTW, Pretreatment",001,Major,PEQUABUCK RIVER,41.668376,-72.921806,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100455,PLAINVILLE WPCF,CRONK RD.,PLAINVILLE,CT,06062,HARTFORD,PLAINVILLE WPCF,MWD,Municipal or Water District,NPD,EFF,NPDES Individual Permit,Effective,4952,Sewerage Systems,3.8,,,,No,No Violation Identified,02/28/2018,10/06/2004,,,N,,07/01/2021,06/30/2026,,"Biosolids, POTW, Pretreatment",001,Major,PEQABUCK RIVER,41.683875,-72.864248,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100463,PLYMOUTH WPCF,35 CANAL STREET,PEQUABUCK,CT,06781,LITCHFIELD,PLYMOUTH WPCF,MWD,Municipal or Water District,NPD,ADC,NPDES Individual Permit,Admin Continued,4952,Sewerage Systems,1.75,,,,Yes,Violation Identified,11/01/2019,03/07/1990,85440,"Aluminum, total [as Al];Antimony, total [as Sb];Arsenic, sludge tot. dry wt [as As];Arsenic, total [as As];BOD, 5-day, 20 deg. C;BOD, 5-day, percent removal;Beryllium, sludge, tot. dry wt [as Be];Beryllium, total [as Be];Cadmium, sludge, total, dry weight [as Cd];Cadmium, total [as Cd];Chlorine, total residual;Chromium, hexavalent [as Cr];Chromium, sludge, total, dry weight [as Cr];Chromium, total [as Cr];Coliform, fecal general;Copper, sludge, total, dry weight [as Cu];Copper, total [as Cu];Cyanide, free [amen. to chlorination];Cyanide, total [as CN];E. coli;Flow rate;Iron, total [as Fe];Lead, sludge, total, dry weight [as Pb];Lead, total [as Pb];Mercury, sludge, total, dry weight [as Hg];Mercury, total [as Hg];Nickel, sludge, total, dry weight [as Ni];Nickel, total [as Ni];Nitrogen, ammonia total [as N];Nitrogen, nitrate total [as N];Nitrogen, nitrite total [as N];Noael Static 48Hr Acute D. Pulex;Noael Static 48Hr Acute Pimephales;Oxygen, dissolved [DO];Phenols;Phosphorus, Total [Avg Seasonal Load Cap];Phosphorus, total [as P];Polychlorinated biphenyls [PCBs];Selenium, total [as Se];Silver, total [as Ag];Solids, fixed, % of total solids;Solids, suspended percent removal;Solids, total suspended;Solids, total, percent;Solids, volatile % of total solids;Thallium, total [as Tl];Ultraviolet light intensity;Zinc, sludge, total, dry weight [as Zn];Zinc, total [as Zn];pH",N,,06/01/2016,05/31/2021,,"Biosolids, POTW, Pretreatment",,Major,PEQUABUCK RIVER,41.668987,-72.991771,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100463,PLYMOUTH WPCF,35 CANAL STREET,PEQUABUCK,CT,06781,LITCHFIELD,PLYMOUTH WPCF,MWD,Municipal or Water District,NPD,ADC,NPDES Individual Permit,Admin Continued,4952,Sewerage Systems,1.75,,,,Yes,Violation Identified,11/01/2019,03/07/1990,,,N,,06/01/2016,05/31/2021,,"Biosolids, POTW, Pretreatment",001,Major,PEQUABUCK RIVER,41.66832,-72.991752,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100919,TOWN OF SIMSBURY WPCF,36 DRAKE HILL ROAD,SIMSBURY,CT,06070,HARTFORD,SIMSBURY WPCF,MWD,Municipal or Water District,NPD,EFF,NPDES Individual Permit,Effective,4952,Sewerage Systems,3.8,,,,No,No Violation Identified,01/25/2019,04/10/2002,53808,"Aluminum, total [as Al];Antimony, total [as Sb];Arsenic, sludge tot. dry wt [as As];Arsenic, total [as As];BOD, 5-day, 20 deg. C;BOD, 5-day, percent removal;Beryllium, sludge, tot. dry wt [as Be];Beryllium, total [as Be];Cadmium, sludge, total, dry weight [as Cd];Cadmium, total [as Cd];Chlorine, total residual;Chromium, hexavalent [as Cr];Chromium, sludge, total, dry weight [as Cr];Chromium, total [as Cr];Copper, sludge, total, dry weight [as Cu];Copper, total [as Cu];Cyanide, free [amen. to chlorination];Cyanide, total [as CN];E. coli;Flow rate;Iron, ferrous;Iron, total [as Fe];Lead, sludge, total, dry weight [as Pb];Lead, total [as Pb];Mercury, sludge, total, dry weight [as Hg];Mercury, total [as Hg];Nickel, sludge, total, dry weight [as Ni];Nickel, total [as Ni];Nitrogen, ammonia total [as N];Nitrogen, nitrate total [as N];Nitrogen, nitrite total [as N];Noael Static 48Hr Acute D. Pulex;Noael Static 48Hr Acute Pimephales;Phenols;Phosphorus, Total [Avg Seasonal Load Cap];Phosphorus, total [as P];Polychlorinated biphenyls [PCBs];Selenium, total [as Se];Silver, total [as Ag];Solids, fixed, % of total solids;Solids, suspended percent removal;Solids, total suspended;Solids, total, percent;Solids, volatile % of total solids;Thallium, total [as Tl];Ultraviolet light dosage;Zinc, sludge, total, dry weight [as Zn];Zinc, total [as Zn];pH",N,,03/01/2019,02/29/2024,,"Biosolids, POTW, Pretreatment",,Major,FARMINGTON RIVER,41.870817,-72.797855,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100919,TOWN OF SIMSBURY WPCF,36 DRAKE HILL ROAD,SIMSBURY,CT,06070,HARTFORD,SIMSBURY WPCF,MWD,Municipal or Water District,NPD,EFF,NPDES Individual Permit,Effective,4952,Sewerage Systems,3.8,,,,No,No Violation Identified,01/25/2019,04/10/2002,,,N,,03/01/2019,02/29/2024,,"Biosolids, POTW, Pretreatment",001,Major,FARMINGTON RIVER,41.869345,-72.797494,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100994,POQUONOCK WPCF,1222 POQUONOCK AVENUE,WINDSOR,CT,060951809,HARTFORD,POQUONOCK MDC WPCF,MWD,Municipal or Water District,NPD,ADC,NPDES Individual Permit,Admin Continued,4952,Sewerage Systems,5,,,,No,No Violation Identified,01/15/2019,,,,N,,10/01/2015,09/30/2020,,"Biosolids, POTW, Pretreatment",001,Major,FARMINGTON RIVER,41.892205,-72.665629,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0101222,WINSTED WPCF,ROUTE 8 NORTH,WINCHESTER,CT,06098,LITCHFIELD,WINCHESTER WPCF/WINSTED WPCF,MWD,Municipal or Water District,NPD,EFF,NPDES Individual Permit,Effective,4952,Sewerage Systems,3.5,,,,No,No Violation Identified,07/18/2019,12/13/1994,,,N,,11/01/2016,10/31/2021,,"Biosolids, POTW, Pretreatment",001,Major,STILL RIVER,41.942207,-73.052586,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTD000005,LOST ACRES PROPERTIES,LOST ACRES ROAD,GRANBY,CT,06035,HARTFORD,,,,UFT,,Unpermitted Facility,,,,,,,,No,Not Applicable,04/05/2010,,,,N,,,,,,,Minor,,42.00645,-72.85238,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTGSI2191,MOTT METALLURGICAL CORPORATION,84 SPRING LN,FARMINGTON,CT,060323142,HARTFORD,Mott Corporation,,,GPC,EFF,General Permit Covered Facility,Effective,,,,,,,No,No Violation Identified,11/20/2015,,,,N,,10/01/2019,09/30/2021,,,,Minor,,41.697318,-72.869283,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTGSN2245,WEATHERSTONE,"LOFGREN RD, SHEFFIELD LN & NORTHINGTON",AVON,CT,06001-,HARTFORD,Toll CT III Limited Partnership,,,GPC,EXP,General Permit Covered Facility,Expired,,,,,,,No,No Violation Identified,09/05/2017,,,Turbidity,N,,06/01/2014,09/30/2020,,,,Minor,,41.808286,-72.9107,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTGSN2324,WEATHERSTONE OF AVON - PHASE 2,LOFGREN ROAD,AVON,CT,06001-,HARTFORD,TOLL CT III LIMITED PARTNERSHIP,,,GPC,EXP,General Permit Covered Facility,Expired,,,,,,,No,No Violation Identified,09/05/2017,,,Turbidity,N,,04/01/2014,09/30/2020,,,,Minor,,41.80487,-72.91268,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTGSN2933,"POWDER FOREST, PARCELS 5 AND 6",E OF THE INTERSECTION OF STRATTON BROOK RD WITH,SIMSBURY,CT,06070,HARTFORD,LANDWORKS DEVELOPMENT LLC,,,GPC,EXP,General Permit Covered Facility,Expired,,,,,,,No,No Violation Identified,06/03/2016,,,Turbidity,N,,08/01/2015,09/30/2020,,,,Minor,,41.864167,-72.839722,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTP000071,FRITO-LAY INC,1886 UPPER MAPLE STREET,DAYVILLE,CT,06241,WINDHAM,FRITO-LAY INC,POF,Privately Owned Facility,IIU,EFF,Individual IU Permit (Non-NPDES),Effective,7538 2096,General Automotive Repair Shops; Potato Chips And Similar Snacks,,,,,Yes,Violation Identified,12/03/2014,,,,N,,11/01/2017,10/31/2022,,,001,Minor,QUINNEBAUG RIVER,41.8625,-72.891667,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTP000727,MALLORY INDUSTRIES INC,33 SPRING LANE,FARMINGTON,CT,06032,HARTFORD,MALLORY INDUSTRIES INC,POF,Privately Owned Facility,IIU,TRM,Individual IU Permit (Non-NPDES),Terminated,3545,Machine Tool Accessories,,,,,No,Terminated Permit,,,,,N,,09/01/2006,08/31/2011,04/18/2011,,001,Minor,,41.7025,-72.887222,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTP002280,"JACOBS VEHICLE SYSTEMS, INC",22 EAST DUDLEY TOWN ROAD,BLOOMFIELD,CT,06002-1440,HARTFORD,JACOBS VEHICLE SYSTEM INC.,,,IIU,EFF,Individual IU Permit (Non-NPDES),Effective,,,,,,,No,No Violation Identified,,,,,N,,06/01/2019,05/31/2024,,,201,Minor,,41.852528,-72.699722,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTP002315,OFS FITEL LLC,55 DARLING DRIVE,AVON,CT,06001,HARTFORD,OFS FITEL LLC,POF,Privately Owned Facility,IIU,TRM,Individual IU Permit (Non-NPDES),Terminated,,,,,,,No,Terminated Permit,09/16/2014,,,,N,,05/01/2009,04/30/2014,05/23/2014,,204,Minor,FARMINGTON RIVER,41.80724,-72.83819,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTP002327,"THEIS PRECISION STEEL USA, INC.",300 BROAD STREET,BRISTOL,CT,060107411,HARTFORD,"THEIS PRECISION STEEL USA, INC.",POF,Privately Owned Facility,IIU,ADC,Individual IU Permit (Non-NPDES),Admin Continued,3316,Cold Finishing Of Steel Shapes,,,,,No,No Violation Identified,08/23/2018,,,,N,,10/01/2012,09/30/2017,,,200,Minor,PEQUABUCK RIVER,41.672111,-72.911861,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTP002327,"THEIS PRECISION STEEL USA, INC.",300 BROAD STREET,BRISTOL,CT,060107411,HARTFORD,"THEIS PRECISION STEEL USA, INC.",POF,Privately Owned Facility,IIU,ADC,Individual IU Permit (Non-NPDES),Admin Continued,3316,Cold Finishing Of Steel Shapes,,,,,No,No Violation Identified,08/23/2018,,,,N,,10/01/2012,09/30/2017,,,201,Minor,PEQUABUCK RIVER,41.672111,-72.911861,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTP002410,THE BARDEN CORPORATION,159 COLEBROOK RIVER ROAD,WINSTED,CT,06098,LITCHFIELD,THE BARDEN CORPORATION,,,IIU,TRM,Individual IU Permit (Non-NPDES),Terminated,,,,,,,No,Terminated Permit,09/29/2014,,,,N,,06/01/2013,05/30/2018,09/19/2014,,201,Minor,,41.95993,-73.04948,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTP002424,"EMHART GLASS MANUFACTURING, INC.",123 GREAT POND DRIVE,WINDSOR,CT,06095,HARTFORD,"EMHART GLASS MANUFACTURING, INC.",POF,Privately Owned Facility,IIU,TRM,Individual IU Permit (Non-NPDES),Terminated,,,,,,,No,Terminated Permit,,,,,N,,10/01/2007,09/30/2012,04/13/2009,,201,Minor,,41.875278,-72.716111,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CTP002433,HAMILTON SUNDSTRAND CORPORATION,1 HAMILTON ROAD,WINDSOR LOCKS,CT,06096-1010,HARTFORD,HAMILTON SUNDSTRAND CORPORATION,,,IIU,ADC,Individual IU Permit (Non-NPDES),Admin Continued,,,,,,,No,No Violation Identified,,,,,N,,11/01/2010,10/31/2015,,,201,Minor,,41.92625,-72.685667,EXTERNAL OUTFALL,Permitted Feature
