"","Year","Data Source","NPDES Permit Number","FRS ID","Facility Name","City","County","State","Major/Non-Major Status","Facility Latitude","Facility Longitude","SIC Code","4-Digit SIC Code","SIC Description","HUC 12 Code","Watershed Name","Total Pounds (lb/yr)","Load Over Limit","Total TWPE (lb-eq/yr)","TWPE Over Limit","Avg Concentration (mg/L)","Max Concentration (mg/L)","Average Flow (MGD)","Links to TRI ID","Contains Potential Outliers?","Link to DFR"
"13",2007,"ICIS","MA0100994",1.10044e+11,"GARDNER WWTF","EAST TEMPLETON","WORCESTER","MA","Major",42.5698,-72.0201,4952,4952,"SEWERAGE SYSTEMS",10802020201,"Otter River",290687.9001,0,0,0,10.62083333,14.5,3.391666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100994&sys=ICP"
"14",2007,"ICIS","CT0101087",1.10056e+11,"STAMFORD WATER POLLUTION CONTROL FACILITY","STAMFORD","FAIRFIELD","CT","Major",41.046247,-73.52996,4952,4952,"SEWERAGE SYSTEMS",11000060404,"Fivemile River",255327.3008,0,0,0,4.675,6.8,17.49166667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0101087&sys=ICP"
"15",2007,"ICIS","NY0026786",1.10001e+11,"PORT CHESTER  WASTEWATER TREATMENT PLANT","PORT CHESTER","WESTCHESTER","NY","Major",40.992028,-73.658556,4952,4952,"SEWERAGE SYSTEMS",11000060403,"Byram River",245014,0,0,0,0,0,4.647945205,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0026786&sys=ICP"
"16",2007,"ICIS","MA0100218",1.1001e+11,"AMHERST WASTEWATER TREATMENT PLANT","HADLEY","HAMPSHIRE","MA","Major",42.387696,-72.537382,4952,4952,"SEWERAGE SYSTEMS",10802010603,"Doolittle Brook-Mill River",236964.4247,0,0,0,10.54583333,22.05,3.739666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100218&sys=ICP"
"17",2007,"ICIS","CT0101036",1.10001e+11,"STRATFORD WATER POLLUTION CONTROL FACILITY","STRATFORD","FAIRFIELD","CT","Major",41.17816,-73.1257,4952,4952,"SEWERAGE SYSTEMS",11000051302,"Housatonic River-Frontal Long Island Sound",226097.215,0,0,0,10.0875,16.9,7.536666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0101036&sys=ICP"
"18",2007,"ICIS","MA0101818",1.10002e+11,"NORTHAMPTON WASTEWATER TREATMENT PLANT","NORTHAMPTON","HAMPSHIRE","MA","Major",42.313056,-72.623333,4952,4952,"SEWERAGE SYSTEMS",10802010610,"Dry Brook-Connecticut River",197054.87,0,0,0,3.730666058,11.68527039,2.170833333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101818&sys=ICP"
"19",2007,"ICIS","MA0101168",1.1001e+11,"PALMER WATER POLLUTION CONTROL FACILITY","PALMER (THREE RIVERS)","HAMPDEN","MA","Major",42.185311,-72.362228,4952,4952,"SEWERAGE SYSTEMS",10802040207,"Danforth Brook-Ware River",181802.3433,0,0,0,6.162444444,8.246666667,2.441666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101168&sys=ICP"
"20",2007,"ICIS","NY0026778",1.10002e+11,"WATER POLL CONTR DIST","PORT WASHINGTON","NASSAU","NY","Major",40.83944,-73.69721,4952,4952,"SEWERAGE SYSTEMS",20302010102,"Mitchells Creek-Manhassett Bay",179078.1607,0,0,0,3.501666667,7.836666667,2.791666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0026778&sys=ICP"
"21",2007,"ICIS","MA0100439",1.10024e+11,"WEBSTER WASTWATER TREATMENT FACILITY","WEBSTER","WORCESTER","MA","Major",42.038576,-71.888022,4952,4952,"SEWERAGE SYSTEMS",11000010203,"Middle French River",151292.9651,0,0,0,5.526944444,7.733333333,3.042833333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100439&sys=ICP"
"22",2007,"ICIS","CT0100641",1.10001e+11,"NAUGATUCK WATER POLLUTION CONTROL FACILITY","NAUGATUCK","NEW HAVEN","CT","Major",41.472975,-73.053986,4952,4952,"SEWERAGE SYSTEMS",11000051205,"Long Meadow Pond Brook-Naugatuck River",135135.6319,0,0,0,9.2,18.3,4.666666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0100641&sys=ICP"
"23",2007,"ICIS","MA0101214",1.10024e+11,"GREENFIELD WATER POLLUTION CONTROL FACILITY","GREENFIELD","FRANKLIN","MA","Major",42.571367,-72.598121,4952,4952,"SEWERAGE SYSTEMS",10802030402,"Lower Green River",133435.6971,0,0,0,14.9375914,19.81066667,3.177483333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101214&sys=ICP"
"24",2007,"ICIS","NY0026719",1.10001e+11,"BLIND BROOK SD WWTP","RYE","WESTCHESTER","NY","Major",40.96475,-73.690778,4952,4952,"SEWERAGE SYSTEMS",11000060405,"Blind Brook-Horseneck Brook",118931,0,0,0,10.72160424,13.86945421,3.700833333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0026719&sys=ICP"
"25",2007,"ICIS","MA0100455",1.10001e+11,"SOUTH HADLEY WASTEWATER TREATMENT FACILITY","CHICOPEE","HAMPDEN","MA","Major",42.205371,-72.58814,4952,4952,"SEWERAGE SYSTEMS",10802010702,"Stony Brook-Connecticut River",115591.2144,0,0,0,8.470818182,15.0195,2.309166667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100455&sys=ICP"
"26",2007,"ICIS","CT0003875",1.10002e+11,"CRRA MID-CONN FACILITY","HARTFORD","HARTFORD","CT","Major",41.748663,-72.650764,4911,4911,"ELECTRICAL SERVICES",10802050505,"Goff Brook-Connecticut River",107905.0636,0,0,0,0.271666667,0.386666667,14.04824642,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0003875&sys=ICP"
"27",2007,"ICIS","NY0026841",1.10007e+11,"BELGRAVE WPCP","GREAT NECK","NASSAU","NY","Major",40.778861,-73.7425,4952,4952,"SEWERAGE SYSTEMS",20302010101,"Alley Creek-Little Neck Bay",102139.4594,0,0,0,7.177194444,8.034666667,1.555,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0026841&sys=ICP"
"28",2007,"ICIS","NY0022128",1.10065e+11,"GREAT NECK (V) WPCP","GREAT NECK","NASSAU","NY","Major",40.797539,-73.713261,4952,4952,"SEWERAGE SYSTEMS",20302010102,"Mitchells Creek-Manhassett Bay",94325,0,0,0,0,0,0.919936986,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0022128&sys=ICP"
"29",2007,"ICIS","NHG580099",1.10002e+11,"HANOVER WASTEWATER TREATMENT FACILITY","HANOVER","GRAFTON","NH","Non-Major",43.69523,-72.297549,4952,4952,"SEWERAGE SYSTEMS",10801040401,"Mink Brook",79138.79831,0,0,0,59.20860215,75.48387097,1.352833333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NHG580099&sys=ICP"
"30",2007,"ICIS","NH0001562",1.1e+11,"GROVETON PAPER BOARD MILL (FORMER)","NORTHUMBERLAND","COOS","NH","Major",44.598865,-71.510138,2621,2621,"PAPER MILLS",10801010707,"Upper Ammonoosuc River",79107.1923,0,0,0,4.783333333,8.325,1.047333333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NH0001562&sys=ICP"
"31",2007,"ICIS","NY0026620",1.10001e+11,"GLEN COVE WASTEWATER TREATMENT FACILITY","GLEN COVE","NASSAU","NY","Major",40.858722,-73.641667,4952,4952,"SEWERAGE SYSTEMS",20302010103,"Glen Cove Creek-Hempstead Harbor",77222.47257,0,0,0,1.301,3.026666667,3.208333333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0026620&sys=ICP"
"32",2007,"ICIS","CT0003263",1.10017e+11,"DOMINION MILLSTONE NUCLEAR POWER STATION","WATERFORD","NEW LONDON","CT","Major",41.307765,-72.165617,4911,4911,"ELECTRICAL SERVICES",11000030305,"Fenger Brook-Frontal Lond Island Sound",76615.7918,0,0,0,0.03,0.05,108.6769906,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0003263&sys=ICP"
"33",2007,"ICIS","MA0101524",1.10001e+11,"GREAT BARRINGTON WASTEWATER TREATMENT FACILITY","GREAT BARRINGTON","BERKSHIRE","MA","Major",42.18994,-73.35709,4952,4952,"SEWERAGE SYSTEMS",11000050204,"Ironwork Brook-Housatonic River",75469.36838,0,0,0,3.798166667,8.311666667,1.63025,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101524&sys=ICP"
"34",2007,"ICIS","MA0100005",1.10007e+11,"ATHOL WASTEWATER TREATMENT FACILITY","ATHOL","WORCESTER","MA","Major",42.586234,-72.242982,4952,4952,"SEWERAGE SYSTEMS",10802020204,"Beaver Brook-Millers River",75330.6425,0,0,0,11.30691881,25.74170231,1.069833333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100005&sys=ICP"
"35",2007,"ICIS","MA0000671",1.10002e+11,"CRANE WASTEWATER TREATEMENT PLANT","DALTON","BERKSHIRE","MA","Major",42.46776,-73.18482,2621,2621,"PAPER MILLS",11000050103,"East Branch Housatonic River",55353.95639,0,0,0,2.7075,4.6,3.41225,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0000671&sys=ICP"
"36",2007,"ICIS","MA0101800",1.10024e+11,"WESTFIELD WASTEWATER TREATMENT PLANT","WESTFIELD","HAMPDEN","MA","Non-Major",42.125314,-72.730211,4952,4952,"SEWERAGE SYSTEMS",10802060301,"Moose Meadow Brook-Westfield River",52508.20702,0,0,0,4.828181818,17,3.668636364,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101800&sys=ICP"
"37",2007,"ICIS","MA0101516",1.10001e+11,"ERVING WASTEWATER TREATMENT PLANT #1","ERVING","FRANKLIN","MA","Major",42.588774,-72.49445,4952,4952,"SEWERAGE SYSTEMS",10802020207,"Lyons Brook-Millers River",49242.39166,0,0,0,32.81912097,45.225,0.398416667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101516&sys=ICP"
"38",2007,"ICIS","CT0100625",1.10002e+11,"WATERBURY WATER POLLUTION CONTROL FACILITY","WATERBURY","NEW HAVEN","CT","Major",41.52161,-73.04427,4952,4952,"SEWERAGE SYSTEMS",11000051205,"Long Meadow Pond Brook-Naugatuck River",43030.73802,0,0,0,0.75,1.12,21.00833333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0100625&sys=ICP"
"39",2007,"ICIS","MA0100099",1.1001e+11,"HADLEY WASTEWATER TREATMENT PLANT","HADLEY","HAMPSHIRE","MA","Non-Major",42.32859,-72.586487,4952,4952,"SEWERAGE SYSTEMS",10802010610,"Dry Brook-Connecticut River",36182.16877,0,0,0,24.45134409,38.33333333,0.36385,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100099&sys=ICP"
"40",2007,"ICIS","MA0100935",1.10009e+11,"LENOX CENTER WASTEWATER TREATMENT FACILITY","LENOX","BERKSHIRE","MA","Major",42.34831,-73.24545,4952,4952,"SEWERAGE SYSTEMS",11000050104,"Sackett Brook-Housatonic River",34534.05448,0,0,0,5.0775,9.063333333,0.74975,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100935&sys=ICP"
"41",2007,"ICIS","CT0100617",1.10001e+11,"WALLINGFORD WATER POLLUTION CONTROL FACILITY","WALLINGFORD","NEW HAVEN","CT","Major",41.446099,-72.837583,4952,4952,"SEWERAGE SYSTEMS",11000040105,"Outlet Quinnipiac River",34205.26451,0,0,0,2.075,6.2,5.365,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0100617&sys=ICP"
"42",2007,"ICIS","MA0101061",1.10007e+11,"NORTH BROOKFIELD WASTE WATER TREATMENT PLANT","NORTH BROOKFIELD","WORCESTER","MA","Major",42.248876,-72.074475,4952,4952,"SEWERAGE SYSTEMS",10802040303,"Upper Quaboag River",30519.81,0,0,0,11.58972035,34.02002431,0.443916667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101061&sys=ICP"
"43",2007,"ICIS","MA0100153",1.10001e+11,"LEE WASTEWATER TREATMENT FACILITY","LEE","BERKSHIRE","MA","Major",42.286286,-73.241279,4952,4952,"SEWERAGE SYSTEMS",11000050105,"Goose Pond Brook-Housatonic River",29501.74597,0,0,0,4.339722222,12.15666667,0.752416667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100153&sys=ICP"
"44",2007,"ICIS","NH0100200",1.10007e+11,"NEWPORT WASTEWATER TREATMENT FACILITY","NEWPORT","SULLIVAN","NH","Major",43.376645,-72.181957,4952,4952,"SEWERAGE SYSTEMS",10801060405,"Long Pond Brook-Sugar River",29193.37798,0,0,0,14.63333333,24,0.656666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NH0100200&sys=ICP"
"45",2007,"ICIS","MA0100137",1.10001e+11,"MONTAGUE WASTEWATER TREATMENT FACILITY","MONTAGUE","FRANKLIN","MA","Major",42.5808,-72.57232,4952,4952,"SEWERAGE SYSTEMS",10802010602,"Russellville Brook-Connecticut River",28748.28612,0,0,0,3.795416667,6.95,1.049833333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100137&sys=ICP"
"46",2007,"ICIS","MA0110264",1.10007e+11,"AUSTRALIS AQUACULTURE, LLC","MONTAGUE (TURNERS FALLS)","FRANKLIN","MA","Non-Major",42.59159,-72.5291,921,921,"FISH HATCHERIES AND PRESERVES",10802010503,"Dry Brook-Connecticut River",27942.56502,0,0,0,26.205,73.795,0.04375,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0110264&sys=ICP"
"47",2007,"ICIS","MA0101257",1.10007e+11,"ORANGE WASTEWATER TREATMENT PLANT","ORANGE","FRANKLIN","MA","Major",42.59606,-72.33146,4952,4952,"SEWERAGE SYSTEMS",10802020205,"Mill Brook-Millers River",27826.41144,0,0,0,13.14075,24.2515,1.005181818,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101257&sys=ICP"
"48",2007,"ICIS","CT0025305",1.1e+11,"UNIMETAL SURFACE FINISHING, LLC","THOMASTON","LITCHFIELD","CT","Major",41.66935,-73.07774,3471,3471,"PLATING AND POLISHING",11000051105,"Northfield Brook-Naugatuck River",25792.31768,0,0,0,25.390625,38.275,0.041512708,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0025305&sys=ICP"
"49",2007,"ICIS","NY0206644",1.1001e+11,"SUFFOLK CO SD#21 SUNY","STONY BROOK","SUFFOLK","NY","Major",40.924472,-73.121139,4952,4952,"SEWERAGE SYSTEMS",20302010304,"Mt Sinai Harbor-Port Jefferson Harbor",24861.63676,0,0,0,0.833333333,2.216666667,0.812666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0206644&sys=ICP"
"50",2007,"ICIS","CT0100455",1.10056e+11,"PLAINVILLE WPCF","PLAINVILLE","HARTFORD","CT","Major",41.68032,-72.86501,4952,4952,"SEWERAGE SYSTEMS",10802070404,"Pequabuck River",24649.62022,5448.729776,0,5448.729776,3.8925,6.34,2.088333333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0100455&sys=ICP"
"51",2007,"ICIS","MA0100862",1.10001e+11,"WINCHENDON WATER POLLUTION CONTROL FACILITY","WINCHENDON","WORCESTER","MA","Major",42.68367,-72.08202,4952,4952,"SEWERAGE SYSTEMS",10802020103,"Torbell Brook-Millers River",23833.15979,0,0,0,7.420201726,18,0.26625,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100862&sys=ICP"
"52",2007,"ICIS","NY0021750",1.10008e+11,"NATIONAL GRID - PORT JEFFERSON POWER STATION","PORT JEFFERSON","SUFFOLK","NY","Major",40.94969,-73.078431,4952,4952,"SEWERAGE SYSTEMS",20302010304,"Mt Sinai Harbor-Port Jefferson Harbor",23706,0,0,0,5.222652915,18.87033456,0.365708333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0021750&sys=ICP"
"53",2007,"ICIS","CT0101320",1.1004e+11,"UNIVERSITY OF CT WATER POLLUTION CONTROL FACILITY","STORRS","TOLLAND","CT","Major",41.811635,-72.263126,8221,8221,"COLLEGES, UNIV & PROF SCHOOLS",11000020108,"Nelson Brook-Willimantic River",23186.60652,0,0,0,7.155833333,11.75,1.043083333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0101320&sys=ICP"
"54",2007,"ICIS","MA0100889",1.10007e+11,"WARE WASTEWATER TREATMENT PLANT","WARE","HAMPSHIRE","MA","Major",42.25194,-72.25514,4952,4952,"SEWERAGE SYSTEMS",10802040207,"Danforth Brook-Ware River",22535.47786,0,0,0,6.613332786,11.34777106,0.623666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100889&sys=ICP"
"55",2007,"ICIS","MA0101052",1.10023e+11,"ERVING WASTEWATER TREATMENT PLANT #2","ERVING","FRANKLIN","MA","Major",42.5975,-72.3879,4952,4952,"SEWERAGE SYSTEMS",10802020207,"Lyons Brook-Millers River",22168.93755,0,0,0,1.158493905,3.461111111,1.6845,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101052&sys=ICP"
"56",2007,"ICIS","CT0100315",1.10001e+11,"MERIDEN WATER POLLUTION CONTROL FACILITY","MERIDEN","NEW HAVEN","CT","Major",41.513431,-72.827878,4952,4952,"SEWERAGE SYSTEMS",11000040105,"Outlet Quinnipiac River",22166.90199,0,0,0,0.635,1.54,10.26666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0100315&sys=ICP"
"57",2007,"ICIS","CT0003212",1.10033e+11,"KIMBERLY-CLARK TISSUE MILL","NEW MILFORD","LITCHFIELD","CT","Major",41.5567,-73.4102,2676,2676,"SANITARY PAPER PRODUCTS",11000050604,"Great Brook-Housatonic River",20473.5132,0,0,0,2.387819691,3.345087721,1.300833333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0003212&sys=ICP"
"58",2007,"ICIS","CT0100218",1.10001e+11,"FARMINGTON WPCF","FARMINGTON","HARTFORD","CT","Major",41.728989,-72.828711,4952,4952,"SEWERAGE SYSTEMS",10802070405,"Roaring Brook-Farmington River",20214.09742,0,0,0,2.08,5.8,3.875,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0100218&sys=ICP"
"59",2007,"ICIS","MA0003697",1.10001e+11,"BARNHARDT MANUFACTURING","COLRAIN","FRANKLIN","MA","Major",42.655709,-72.714796,2269,2269,"FINISHERS OF TEXTILES, NEC",10802030302,"Taylor Brook-North River",19888.4678,0,0,0,13.80916667,28,0.23,NA,"Y","https://echo.epa.gov/detailed-facility-report?fid=MA0003697&sys=ICP"
"60",2007,"ICIS","MA0103152",1.10007e+11,"BARRE WASTEWATER TREATMENT FACILITY","BARRE","WORCESTER","MA","Non-Major",42.37624,-72.12048,4952,4952,"SEWERAGE SYSTEMS",10802040205,"Winimusset Brook-Ware River",19167.24,0,0,0,45.29930973,111.7010958,0.21458,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0103152&sys=ICP"
"61",2007,"ICIS","CT0100579",1.1003e+11,"TORRINGTON WATER POLLUTION CONTROL FACILITY","TORRINGTON","LITCHFIELD","CT","Major",41.780542,-73.116477,4952,4952,"SEWERAGE SYSTEMS",11000051105,"Northfield Brook-Naugatuck River",19128.08178,1362.180149,0,1362.180149,1.014285714,3.05,4.7075,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0100579&sys=ICP"
"62",2007,"ICIS","NH0100544",1.10002e+11,"SUNAPEE WASTEWATER TREATMENT FACILITY","SUNAPEE","SULLIVAN","NH","Major",43.379784,-72.113507,4952,4952,"SEWERAGE SYSTEMS",10801060405,"Long Pond Brook-Sugar River",18382.33414,0,0,0,49.28719355,88.5483871,0.348541667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NH0100544&sys=ICP"
"63",2007,"ICIS","MA0101141",1.10002e+11,"CHARLTON WASTEWATER TREATMENT FACILITY","CHARLTON","WORCESTER","MA","Major",42.141435,-71.995382,4952,4952,"SEWERAGE SYSTEMS",11000010104,"Cady Brook-Quinebaug River",18109.50468,0,0,0,23.22546659,55.51,0.19,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101141&sys=ICP"
"64",2007,"ICIS","NH0100145",1.10007e+11,"LANCASTER WASTEWATER TREATMENT FACILITY","LANCASTER","COOS","NH","Major",44.484948,-71.595363,4952,4952,"SEWERAGE SYSTEMS",10801010903,"Mink Brook-Connecticut River",17794.80739,0,0,0,28.52,28.52,0.981416667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NH0100145&sys=ICP"
"65",2007,"ICIS","CT0100404",1.10002e+11,"NORTH HAVEN WATER POLLUTION CONTROL FACILITY","NORTH HAVEN","NEW HAVEN","CT","Major",41.364329,-72.871671,4952,4952,"SEWERAGE SYSTEMS",11000040104,"Muddy River",17528.90455,0,0,0,1.808333333,6.7,3.243333333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0100404&sys=ICP"
"66",2007,"ICIS","CT0000434",1.10036e+11,"AHLSTROM NONWOVENS","WINDSOR LOCKS","HARTFORD","CT","Major",41.925376,-72.625924,2621,2621,"PAPER MILLS",10802050105,"Freshwater Brook-Connecticut River",17209.45352,0,0,0,1.321666667,2.16,0.828781338,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0000434&sys=ICP"
"67",2007,"ICIS","MA0101290",1.1001e+11,"HATFIELD WASTEWATER TREATMENT FACILITY","HATFIELD","HAMPSHIRE","MA","Non-Major",42.394226,-72.592828,4952,4952,"SEWERAGE SYSTEMS",10802010602,"Russellville Brook-Connecticut River",16712.17024,0,0,0,43.32847715,54.97,0.201,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101290&sys=ICP"
"68",2007,"ICIS","MA0100919",1.10001e+11,"SPENCER WASTEWATER TREATMENT PLANT","SPENCER","WORCESTER","MA","Major",42.231774,-72.013348,4952,4952,"SEWERAGE SYSTEMS",10802040301,"Sevenmile River",16117.52727,0,0,0,2.32618865,8.565436005,0.369166667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0100919&sys=ICP"
"69",2007,"ICIS","NH0100790",1.10002e+11,"KEENE WASTEWATER TREATMENT FACILITY","KEENE","CHESHIRE","NH","Major",42.89049,-72.27547,4952,4952,"SEWERAGE SYSTEMS",10802010303,"South Branch Ashuelot River",15985.2,0,0,0,1.355453031,6.19317376,3.2985,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NH0100790&sys=ICP"
